Distanz,Einheit,Schwimmstil
50,m,Delphin
50,m,Rücken
50,m,Brust
50,m,Freistil
100,m,Lagen
50,m,Delphin
50,m,Rücken
50,m,Brust
50,m,Freistil
100,m,Lagen
50,m,Delphin
50,m,Rücken
50,m,Brust
50,m,Freistil
100,m,Lagen
